location_x,location_y,body_part,outcome,shot_type,distance,degrees_subtended
111.5,52.9,Right Foot,Off T,Open Play,12.30690862889621,16.982585654067123
113.9,26.4,Left Foot,Off T,Open Play,11.374093370462543,13.316705918518315
93.7,34.7,Left Foot,Saved,Open Play,26.3321096762109,16.644406459419052
109.2,39.1,Head,Off T,Open Play,10.799999999999997,40.41941129511731
107.8,24.7,Right Foot,Off T,Open Play,16.629191201017566,14.895257080503281
108.6,27.8,Left Foot,Wayward,Open Play,14.04279174523357,19.138408720284627
112.5,41.7,Head,Off T,Open Play,7.5,54.283864953684485
112.4,41.0,Head,Off T,Open Play,7.599999999999994,54.88168326501548
102.5,30.1,Right Foot,Saved,Open Play,18.467809832245944,19.8284476929874
110.0,27.7,Right Foot,Wayward,Open Play,12.995768542106312,18.778338811577775
106.1,32.6,Right Foot,Off T,Open Play,14.309786860746744,25.61177021289632
116.5,31.2,Left Foot,Saved,Open Play,5.940538696111659,20.80529628112222
105.6,23.9,Left Foot,Blocked,Open Play,18.808774548066662,14.341920848310268
110.3,25.3,Right Foot,Blocked,Open Play,14.442298985964806,14.777111625978167
94.9,26.3,Right Foot,Blocked,Open Play,26.90910626535188,14.061464639342898
106.7,26.5,Left Foot,Blocked,Open Play,16.344418007380987,17.227488226450944
100.0,57.4,Left Foot,Off T,Open Play,24.074052421642683,13.11471516872702
100.0,27.6,Right Foot,Blocked,Open Play,21.692394980729997,16.56934689578304
106.3,47.0,Left Foot,Post,Open Play,14.024621207005916,26.41010816033048
88.5,41.2,Right Foot,Wayward,Open Play,31.5,14.453419665461082
108.4,30.2,Left Foot,Saved,Open Play,12.969194269498775,23.385221057213776
114.5,32.8,Right Foot,Off T,Open Play,6.363175307973215,33.65404126072946
113.2,31.4,Right Foot,Saved,Open Play,8.209750300709516,27.5678429345452
105.3,33.4,Right Foot,Goal,Open Play,14.928161306738351,25.764724101072826
106.6,46.8,Left Foot,Saved,Open Play,13.689411966918087,27.06534329453717
111.5,36.2,Left Foot,Goal,Open Play,8.5,43.88884329009398
119.2,27.8,Right Foot,Off T,Open Play,8.238931969618392,2.745073225802368
105.7,21.6,Left Foot,Saved,Open Play,20.29408780901472,12.246493819497234
88.9,46.8,Right Foot,Saved,Open Play,31.22579062249665,14.005828828235197
92.0,28.6,Right Foot,Off T,Open Play,28.961353559528256,14.006813586702576
98.8,35.4,Right Foot,Off T,Open Play,21.20848886648929,20.45929925387995
112.7,31.2,Right Foot,Saved,Open Play,8.736704184073075,26.977057775185724
100.6,28.5,Right Foot,Saved,Open Play,20.799278833651908,17.487374125347415
107.2,48.6,Right Foot,Blocked,Open Play,13.60147050873544,24.781692776421085
105.8,21.3,Right Foot,Off T,Open Play,20.438444167793204,11.980756803398268
109.5,23.2,Right Foot,Saved,Open Play,16.555663683464942,12.577461608037881
111.9,49.0,Right Foot,Goal,Open Play,9.518928511129806,26.38755117039375
96.1,28.3,Right Foot,Off T,Open Play,25.109759058979442,15.44338148563976
112.0,41.8,Head,Saved,Open Play,8.0,51.31836312020854
109.2,36.8,Head,Saved,Open Play,10.799999999999997,37.92646232503862
