location_x,location_y,body_part,outcome,shot_type
111.5,52.9,Right Foot,Off T,Open Play
113.9,26.4,Left Foot,Off T,Open Play
93.7,34.7,Left Foot,Saved,Open Play
109.2,39.1,Head,Off T,Open Play
107.8,24.7,Right Foot,Off T,Open Play
108.6,27.8,Left Foot,Wayward,Open Play
112.5,41.7,Head,Off T,Open Play
96.5,52.6,Left Foot,Post,Free Kick
112.4,41.0,Head,Off T,Open Play
102.5,30.1,Right Foot,Saved,Open Play
110.0,27.7,Right Foot,Wayward,Open Play
106.1,32.6,Right Foot,Off T,Open Play
116.5,31.2,Left Foot,Saved,Open Play
105.6,23.9,Left Foot,Blocked,Open Play
110.3,25.3,Right Foot,Blocked,Open Play
94.9,26.3,Right Foot,Blocked,Open Play
106.7,26.5,Left Foot,Blocked,Open Play
100.0,57.4,Left Foot,Off T,Open Play
100.0,27.6,Right Foot,Blocked,Open Play
97.8,45.4,Left Foot,Goal,Free Kick
106.3,47.0,Left Foot,Post,Open Play
88.5,41.2,Right Foot,Wayward,Open Play
108.4,30.2,Left Foot,Saved,Open Play
114.5,32.8,Right Foot,Off T,Open Play
113.2,31.4,Right Foot,Saved,Open Play
105.3,33.4,Right Foot,Goal,Open Play
106.6,46.8,Left Foot,Saved,Open Play
111.5,36.2,Left Foot,Goal,Open Play
119.2,27.8,Right Foot,Off T,Open Play
105.7,21.6,Left Foot,Saved,Open Play
88.9,46.8,Right Foot,Saved,Open Play
92.0,28.6,Right Foot,Off T,Open Play
98.8,35.4,Right Foot,Off T,Open Play
112.7,31.2,Right Foot,Saved,Open Play
100.6,28.5,Right Foot,Saved,Open Play
107.2,48.6,Right Foot,Blocked,Open Play
94.9,38.6,Left Foot,Off T,Free Kick
105.8,21.3,Right Foot,Off T,Open Play
109.5,23.2,Right Foot,Saved,Open Play
111.9,49.0,Right Foot,Goal,Open Play
96.1,28.3,Right Foot,Off T,Open Play
112.0,41.8,Head,Saved,Open Play
109.2,36.8,Head,Saved,Open Play
111.5,39.1,Head,Blocked,Open Play
108.4,27.6,Left Foot,Saved,Open Play
91.8,50.2,Right Foot,Off T,Open Play
113.8,35.6,Head,Blocked,Open Play
115.4,36.6,Right Foot,Goal,Open Play
110.2,50.8,Right Foot,Goal,Open Play
110.4,23.9,Left Foot,Saved,Open Play
89.8,48.6,Right Foot,Saved,Open Play
103.2,58.6,Right Foot,Saved,Open Play
111.5,34.6,Head,Saved,Open Play
95.0,35.6,Left Foot,Blocked,Open Play
96.4,39.7,Right Foot,Blocked,Open Play
116.9,51.9,Right Foot,Saved,Open Play
103.2,52.2,Left Foot,Post,Open Play
101.6,36.4,Right Foot,Saved,Open Play
88.6,47.1,Left Foot,Off T,Free Kick
117.4,34.1,Head,Blocked,Open Play
117.3,32.5,Right Foot,Saved,Open Play
114.0,35.0,Right Foot,Goal,Open Play
115.8,42.5,Left Foot,Goal,Open Play
112.8,27.9,Right Foot,Saved,Open Play
93.3,42.5,Right Foot,Off T,Open Play
117.6,49.4,Left Foot,Saved to Post,Open Play
90.9,30.6,Left Foot,Off T,Open Play
108.9,29.3,Left Foot,Goal,Open Play
112.3,28.0,Right Foot,Saved,Open Play
108.3,55.4,Right Foot,Goal,Open Play
110.7,44.9,Left Foot,Off T,Open Play
106.9,35.2,Right Foot,Saved,Open Play
96.6,33.2,Right Foot,Blocked,Open Play
113.9,37.5,Head,Off T,Open Play
103.4,35.2,Left Foot,Goal,Open Play
91.4,41.6,Right Foot,Off T,Open Play
92.5,58.3,Right Foot,Off T,Open Play
96.5,49.4,Left Foot,Off T,Free Kick
111.8,31.3,Left Foot,Goal,Open Play
101.0,47.2,Right Foot,Off T,Open Play
109.4,28.0,Right Foot,Wayward,Open Play
112.2,48.5,Head,Off T,Open Play
108.1,40.1,Right Foot,Goal,Penalty
107.5,29.7,Left Foot,Goal,Open Play
